estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=M dc=+ h=B dh=0 L=A dL=+ preo=B,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (sube); cumplimiento Bajo,prop_rapida,946,"(0, 1, 2, 0)",0.8744,3.0,"(1, 1, 0, 2)",0.0927,6.0,"(2, 0, 2, 0)",0.0140,4.0
c=M dc=+ h=B dh=0 L=A dL=+ preo=M,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (sube); cumplimiento Medio,prop_rapida,14,"(2, 0, 2, 2)",0.9995,8.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=+ h=B dh=0 L=A dL=+ preo=A,contagio Medio (sube); hospital Bajo (estable); restriccion Alto (sube); cumplimiento Alto,prop_rapida,3,"(1, 1, 0, 0)",0.8012,2.0,"(2, 2, 2, 2)",0.0025,10.0,"(1, 0, 0, 1)",0.0025,3.0
c=M dc=+ h=B dh=+ L=B dL=- preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (baja); cumplimiento Bajo,prop_rapida,1895185,"(2, 2, 2, 2)",0.0613,10.0,"(2, 2, 1, 2)",0.0564,9.0,"(2, 2, 1, 1)",0.0538,7.0
c=M dc=+ h=B dh=+ L=B dL=- preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (baja); cumplimiento Medio,prop_rapida,1670,"(2, 2, 0, 2)",0.9569,8.0,"(2, 1, 0, 1)",0.0307,5.0,"(0, 1, 0, 0)",0.0032,1.0
c=M dc=+ h=B dh=+ L=B dL=- preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (baja); cumplimiento Alto,prop_rapida,2126,"(2, 1, 0, 1)",0.4071,5.0,"(2, 2, 0, 1)",0.1743,6.0,"(0, 1, 2, 0)",0.0961,3.0
c=M dc=+ h=B dh=+ L=B dL=0 preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (estable); cumplimiento Bajo,prop_rapida,1471,"(1, 0, 2, 2)",0.7747,7.0,"(1, 2, 0, 2)",0.1858,7.0,"(1, 2, 2, 1)",0.0214,7.0
c=M dc=+ h=B dh=+ L=B dL=0 preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (estable); cumplimiento Medio,prop_rapida,111,"(2, 2, 0, 2)",1.0000,8.0,"(1, 0, 1, 0)",0.0000,2.0,"(1, 0, 0, 2)",0.0000,5.0
c=M dc=+ h=B dh=+ L=B dL=0 preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (estable); cumplimiento Alto,prop_rapida,228,"(1, 1, 2, 2)",0.9424,8.0,"(1, 0, 2, 0)",0.0368,3.0,"(2, 0, 0, 1)",0.0059,4.0
c=M dc=+ h=B dh=+ L=B dL=+ preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (sube); cumplimiento Bajo,prop_rapida,7536,"(2, 2, 0, 2)",0.3774,8.0,"(1, 2, 1, 2)",0.1865,8.0,"(2, 2, 1, 1)",0.1797,7.0
c=M dc=+ h=B dh=+ L=B dL=+ preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (sube); cumplimiento Medio,prop_rapida,47,"(1, 1, 1, 1)",0.9997,5.0,"(2, 2, 2, 1)",0.0000,8.0,"(0, 2, 1, 1)",0.0000,5.0
c=M dc=+ h=B dh=+ L=B dL=+ preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Bajo (sube); cumplimiento Alto,prop_rapida,115,"(0, 2, 0, 2)",0.8947,6.0,"(1, 2, 1, 0)",0.0207,4.0,"(1, 2, 0, 0)",0.0078,3.0
c=M dc=+ h=B dh=+ L=M dL=- preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (baja); cumplimiento Bajo,prop_rapida,5617,"(2, 2, 1, 2)",0.7576,9.0,"(1, 1, 0, 1)",0.1204,4.0,"(0, 0, 0, 2)",0.0260,4.0
c=M dc=+ h=B dh=+ L=M dL=- preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (baja); cumplimiento Medio,prop_rapida,297,"(2, 0, 1, 2)",0.9733,7.0,"(2, 0, 2, 2)",0.0157,8.0,"(2, 1, 1, 2)",0.0079,8.0
c=M dc=+ h=B dh=+ L=M dL=- preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (baja); cumplimiento Alto,prop_rapida,20,"(0, 1, 1, 1)",0.9500,4.0,"(2, 2, 2, 2)",0.0006,10.0,"(0, 2, 1, 0)",0.0006,3.0
c=M dc=+ h=B dh=+ L=M dL=0 preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (estable); cumplimiento Bajo,prop_rapida,243,"(1, 2, 0, 2)",0.9983,7.0,"(2, 2, 1, 2)",0.0006,9.0,"(0, 1, 2, 0)",0.0004,3.0
c=M dc=+ h=B dh=+ L=M dL=0 preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (estable); cumplimiento Medio,prop_rapida,32,"(1, 2, 2, 2)",0.9999,9.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 1, 1, 0)",0.0000,3.0
c=M dc=+ h=B dh=+ L=M dL=0 preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (estable); cumplimiento Alto,prop_rapida,6,"(0, 2, 0, 2)",0.9719,6.0,"(1, 1, 1, 0)",0.0004,3.0,"(0, 2, 1, 0)",0.0004,3.0
c=M dc=+ h=B dh=+ L=M dL=+ preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (sube); cumplimiento Bajo,prop_rapida,6120,"(2, 2, 2, 1)",0.5293,8.0,"(1, 1, 1, 2)",0.0568,7.0,"(2, 2, 0, 2)",0.0546,8.0
c=M dc=+ h=B dh=+ L=M dL=+ preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (sube); cumplimiento Medio,prop_rapida,175,"(1, 2, 2, 2)",0.9978,9.0,"(2, 1, 1, 2)",0.0019,8.0,"(2, 0, 2, 0)",0.0002,4.0
c=M dc=+ h=B dh=+ L=M dL=+ preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Medio (sube); cumplimiento Alto,prop_rapida,172,"(2, 0, 1, 0)",0.5731,3.0,"(2, 2, 2, 0)",0.0771,6.0,"(1, 2, 1, 0)",0.0464,4.0
c=M dc=+ h=B dh=+ L=A dL=- preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (baja); cumplimiento Bajo,prop_rapida,220,"(2, 0, 1, 2)",0.9960,7.0,"(1, 2, 2, 1)",0.0013,7.0,"(2, 1, 1, 1)",0.0010,6.0
c=M dc=+ h=B dh=+ L=A dL=- preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (baja); cumplimiento Medio,prop_rapida,2,"(2, 2, 1, 2)",0.6739,9.0,"(2, 2, 2, 2)",0.0041,10.0,"(1, 0, 0, 2)",0.0041,5.0
c=M dc=+ h=B dh=+ L=A dL=- preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (baja); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=+ L=A dL=0 preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (estable); cumplimiento Bajo,prop_rapida,32,"(0, 1, 2, 0)",0.9997,3.0,"(1, 0, 1, 2)",0.0003,6.0,"(2, 2, 2, 2)",0.0000,10.0
c=M dc=+ h=B dh=+ L=A dL=0 preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (estable); cumplimiento Medio,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=+ L=A dL=0 preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (estable); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=B dh=+ L=A dL=+ preo=B,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (sube); cumplimiento Bajo,prop_rapida,1549,"(1, 2, 2, 2)",0.9933,9.0,"(1, 1, 2, 1)",0.0026,6.0,"(0, 2, 1, 2)",0.0011,7.0
c=M dc=+ h=B dh=+ L=A dL=+ preo=M,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (sube); cumplimiento Medio,prop_rapida,26,"(1, 2, 2, 0)",0.9997,5.0,"(1, 0, 1, 0)",0.0001,2.0,"(2, 2, 2, 2)",0.0000,10.0
c=M dc=+ h=B dh=+ L=A dL=+ preo=A,contagio Medio (sube); hospital Bajo (sube); restriccion Alto (sube); cumplimiento Alto,prop_rapida,14,"(1, 0, 1, 1)",0.9788,4.0,"(1, 0, 2, 1)",0.0028,5.0,"(2, 2, 2, 2)",0.0016,10.0
c=M dc=+ h=M dh=- L=B dL=- preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (baja); cumplimiento Bajo,prop_rapida,259547,"(2, 2, 2, 2)",0.0677,10.0,"(2, 2, 1, 0)",0.0469,5.0,"(2, 2, 2, 1)",0.0437,8.0
c=M dc=+ h=M dh=- L=B dL=- preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (baja); cumplimiento Medio,prop_rapida,8974,"(2, 2, 2, 1)",0.4668,8.0,"(2, 1, 2, 0)",0.2040,5.0,"(2, 1, 1, 1)",0.0448,6.0
c=M dc=+ h=M dh=- L=B dL=- preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (baja); cumplimiento Alto,prop_rapida,408,"(2, 2, 1, 2)",0.9957,9.0,"(1, 2, 0, 0)",0.0022,3.0,"(1, 1, 2, 0)",0.0009,4.0
c=M dc=+ h=M dh=- L=B dL=0 preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (estable); cumplimiento Bajo,prop_rapida,597,"(1, 2, 2, 2)",0.9980,9.0,"(2, 2, 1, 1)",0.0006,7.0,"(2, 1, 2, 2)",0.0003,9.0
c=M dc=+ h=M dh=- L=B dL=0 preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (estable); cumplimiento Medio,prop_rapida,780,"(2, 1, 1, 1)",0.9793,6.0,"(1, 2, 2, 0)",0.0048,5.0,"(2, 0, 1, 2)",0.0021,7.0
c=M dc=+ h=M dh=- L=B dL=0 preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (estable); cumplimiento Alto,prop_rapida,106,"(0, 2, 0, 2)",0.9912,6.0,"(2, 2, 2, 1)",0.0001,8.0,"(0, 2, 1, 1)",0.0001,5.0
c=M dc=+ h=M dh=- L=B dL=+ preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (sube); cumplimiento Bajo,prop_rapida,1858,"(2, 2, 0, 2)",0.9279,8.0,"(2, 1, 0, 2)",0.0186,7.0,"(2, 1, 2, 0)",0.0102,5.0
c=M dc=+ h=M dh=- L=B dL=+ preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (sube); cumplimiento Medio,prop_rapida,192,"(0, 1, 2, 0)",0.9797,3.0,"(0, 1, 1, 0)",0.0057,2.0,"(0, 0, 0, 1)",0.0055,2.0
c=M dc=+ h=M dh=- L=B dL=+ preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Bajo (sube); cumplimiento Alto,prop_rapida,35,"(1, 1, 2, 1)",0.9947,6.0,"(2, 0, 0, 1)",0.0004,4.0,"(2, 2, 2, 2)",0.0001,10.0
c=M dc=+ h=M dh=- L=M dL=- preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Medio (baja); cumplimiento Bajo,prop_rapida,1434,"(1, 1, 2, 0)",0.9772,4.0,"(2, 2, 0, 0)",0.0081,4.0,"(2, 1, 0, 1)",0.0061,5.0
c=M dc=+ h=M dh=- L=M dL=- preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Medio (baja); cumplimiento Medio,prop_rapida,1325,"(0, 0, 2, 1)",0.7714,4.0,"(1, 2, 2, 2)",0.0692,9.0,"(0, 0, 0, 1)",0.0331,2.0
c=M dc=+ h=M dh=- L=M dL=- preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Medio (baja); cumplimiento Alto,prop_rapida,28,"(1, 1, 0, 0)",0.9976,2.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 1, 0)",0.0000,2.0
c=M dc=+ h=M dh=- L=M dL=0 preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Medio (estable); cumplimiento Bajo,prop_rapida,256,"(0, 2, 2, 1)",0.9972,6.0,"(2, 1, 2, 2)",0.0011,9.0,"(1, 0, 0, 0)",0.0010,1.0
c=M dc=+ h=M dh=- L=M dL=0 preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Medio (estable); cumplimiento Medio,prop_rapida,226,"(1, 0, 2, 0)",0.9961,3.0,"(1, 2, 2, 2)",0.0020,9.0,"(2, 1, 0, 2)",0.0014,7.0
c=M dc=+ h=M dh=- L=M dL=0 preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Medio (estable); cumplimiento Alto,prop_rapida,14,"(2, 2, 0, 1)",0.9873,6.0,"(2, 2, 2, 2)",0.0002,10.0,"(1, 0, 0, 2)",0.0002,5.0
c=M dc=+ h=M dh=- L=M dL=+ preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Medio (sube); cumplimiento Bajo,prop_rapida,2951,"(2, 0, 2, 1)",0.3973,6.0,"(2, 1, 2, 1)",0.2984,7.0,"(2, 1, 1, 1)",0.1566,6.0
c=M dc=+ h=M dh=- L=M dL=+ preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Medio (sube); cumplimiento Medio,prop_rapida,330,"(2, 1, 1, 2)",0.9977,8.0,"(1, 0, 1, 2)",0.0014,6.0,"(2, 0, 1, 1)",0.0005,5.0
c=M dc=+ h=M dh=- L=M dL=+ preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Medio (sube); cumplimiento Alto,prop_rapida,40,"(0, 1, 0, 0)",0.9372,1.0,"(1, 1, 1, 1)",0.0008,5.0,"(0, 2, 2, 0)",0.0008,4.0
c=M dc=+ h=M dh=- L=A dL=- preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Alto (baja); cumplimiento Bajo,prop_rapida,69,"(1, 2, 0, 1)",1.0000,5.0,"(2, 2, 2, 0)",0.0000,6.0,"(2, 2, 2, 2)",0.0000,10.0
c=M dc=+ h=M dh=- L=A dL=- preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Alto (baja); cumplimiento Medio,prop_rapida,13,"(0, 0, 1, 2)",0.9983,5.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 1, 0)",0.0000,2.0
c=M dc=+ h=M dh=- L=A dL=- preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Alto (baja); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=M dh=- L=A dL=0 preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Alto (estable); cumplimiento Bajo,prop_rapida,20,"(1, 2, 2, 1)",0.9998,7.0,"(2, 2, 2, 2)",0.0000,10.0,"(0, 2, 0, 2)",0.0000,6.0
c=M dc=+ h=M dh=- L=A dL=0 preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Alto (estable); cumplimiento Medio,prop_rapida,3,"(1, 2, 1, 2)",0.9955,8.0,"(2, 2, 2, 2)",0.0001,10.0,"(0, 2, 0, 2)",0.0001,6.0
c=M dc=+ h=M dh=- L=A dL=0 preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Alto (estable); cumplimiento Alto,prop_rapida,2,"(2, 1, 1, 0)",0.4392,4.0,"(2, 2, 2, 2)",0.0070,10.0,"(1, 0, 0, 1)",0.0070,3.0
c=M dc=+ h=M dh=- L=A dL=+ preo=B,contagio Medio (sube); hospital Medio (baja); restriccion Alto (sube); cumplimiento Bajo,prop_rapida,1052,"(0, 1, 1, 1)",0.8940,4.0,"(2, 1, 2, 0)",0.0408,5.0,"(2, 2, 1, 0)",0.0318,5.0
c=M dc=+ h=M dh=- L=A dL=+ preo=M,contagio Medio (sube); hospital Medio (baja); restriccion Alto (sube); cumplimiento Medio,prop_rapida,192,"(0, 1, 0, 1)",0.9970,3.0,"(0, 1, 0, 2)",0.0024,5.0,"(2, 1, 1, 2)",0.0000,8.0
c=M dc=+ h=M dh=- L=A dL=+ preo=A,contagio Medio (sube); hospital Medio (baja); restriccion Alto (sube); cumplimiento Alto,prop_rapida,10,"(2, 1, 1, 1)",0.0211,6.0,"(2, 2, 2, 2)",0.0123,10.0,"(0, 2, 0, 1)",0.0123,4.0
c=M dc=+ h=M dh=0 L=B dL=- preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (baja); cumplimiento Bajo,prop_rapida,233442,"(2, 2, 2, 2)",0.0817,10.0,"(2, 2, 1, 2)",0.0595,9.0,"(1, 2, 2, 2)",0.0594,9.0
c=M dc=+ h=M dh=0 L=B dL=- preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (baja); cumplimiento Medio,prop_rapida,4263,"(2, 2, 1, 2)",0.8885,9.0,"(0, 1, 0, 0)",0.0277,1.0,"(2, 2, 0, 2)",0.0178,8.0
c=M dc=+ h=M dh=0 L=B dL=- preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (baja); cumplimiento Alto,prop_rapida,138,"(2, 2, 1, 1)",0.9846,7.0,"(2, 1, 0, 0)",0.0003,3.0,"(2, 2, 2, 2)",0.0002,10.0
c=M dc=+ h=M dh=0 L=B dL=0 preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (estable); cumplimiento Bajo,prop_rapida,450,"(1, 1, 2, 1)",0.9868,6.0,"(0, 1, 0, 0)",0.0108,1.0,"(0, 1, 2, 0)",0.0005,3.0
c=M dc=+ h=M dh=0 L=B dL=0 preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (estable); cumplimiento Medio,prop_rapida,220,"(0, 2, 2, 1)",0.9925,6.0,"(1, 2, 1, 1)",0.0059,6.0,"(1, 0, 0, 1)",0.0005,3.0
c=M dc=+ h=M dh=0 L=B dL=0 preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (estable); cumplimiento Alto,prop_rapida,25,"(2, 2, 1, 1)",0.9951,7.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 0, 1, 0)",0.0001,2.0
c=M dc=+ h=M dh=0 L=B dL=+ preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (sube); cumplimiento Bajo,prop_rapida,1349,"(0, 2, 0, 2)",0.9344,6.0,"(0, 2, 2, 1)",0.0370,6.0,"(2, 1, 0, 0)",0.0052,3.0
c=M dc=+ h=M dh=0 L=B dL=+ preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (sube); cumplimiento Medio,prop_rapida,74,"(0, 2, 1, 0)",0.9727,3.0,"(2, 0, 1, 0)",0.0163,3.0,"(1, 0, 0, 1)",0.0066,3.0
c=M dc=+ h=M dh=0 L=B dL=+ preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Bajo (sube); cumplimiento Alto,prop_rapida,12,"(1, 2, 2, 0)",0.8427,5.0,"(2, 2, 2, 2)",0.0020,10.0,"(1, 1, 1, 0)",0.0020,3.0
c=M dc=+ h=M dh=0 L=M dL=- preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Medio (baja); cumplimiento Bajo,prop_rapida,1231,"(1, 2, 2, 2)",0.9978,9.0,"(2, 0, 0, 2)",0.0004,6.0,"(1, 1, 0, 1)",0.0003,4.0
c=M dc=+ h=M dh=0 L=M dL=- preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Medio (baja); cumplimiento Medio,prop_rapida,554,"(2, 1, 1, 2)",0.9900,8.0,"(0, 2, 1, 0)",0.0040,3.0,"(1, 0, 2, 2)",0.0013,7.0
c=M dc=+ h=M dh=0 L=M dL=- preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Medio (baja); cumplimiento Alto,prop_rapida,6,"(0, 0, 0, 1)",0.9129,2.0,"(2, 2, 2, 2)",0.0011,10.0,"(1, 0, 0, 2)",0.0011,5.0
c=M dc=+ h=M dh=0 L=M dL=0 preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Medio (estable); cumplimiento Bajo,prop_rapida,175,"(0, 0, 0, 1)",0.9994,2.0,"(2, 1, 0, 0)",0.0005,3.0,"(1, 1, 0, 0)",0.0000,2.0
c=M dc=+ h=M dh=0 L=M dL=0 preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Medio (estable); cumplimiento Medio,prop_rapida,102,"(2, 2, 0, 1)",0.9967,6.0,"(1, 2, 0, 1)",0.0015,5.0,"(0, 1, 0, 1)",0.0007,3.0
c=M dc=+ h=M dh=0 L=M dL=0 preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Medio (estable); cumplimiento Alto,prop_rapida,3,"(1, 2, 0, 1)",0.7214,5.0,"(2, 2, 2, 2)",0.0035,10.0,"(1, 0, 0, 2)",0.0035,5.0
c=M dc=+ h=M dh=0 L=M dL=+ preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Medio (sube); cumplimiento Bajo,prop_rapida,2076,"(1, 2, 0, 0)",0.9559,3.0,"(0, 0, 2, 1)",0.0168,4.0,"(0, 1, 0, 0)",0.0052,1.0
c=M dc=+ h=M dh=0 L=M dL=+ preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Medio (sube); cumplimiento Medio,prop_rapida,137,"(0, 2, 1, 0)",0.9992,3.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=+ h=M dh=0 L=M dL=+ preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Medio (sube); cumplimiento Alto,prop_rapida,8,"(1, 2, 1, 2)",0.9534,8.0,"(1, 1, 1, 0)",0.0006,3.0,"(0, 2, 1, 0)",0.0006,3.0
c=M dc=+ h=M dh=0 L=A dL=- preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Alto (baja); cumplimiento Bajo,prop_rapida,63,"(2, 2, 0, 1)",0.9971,6.0,"(2, 1, 2, 2)",0.0025,9.0,"(0, 1, 2, 1)",0.0004,5.0
c=M dc=+ h=M dh=0 L=A dL=- preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Alto (baja); cumplimiento Medio,prop_rapida,3,"(0, 0, 1, 1)",0.9949,3.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 0, 0, 2)",0.0001,5.0
c=M dc=+ h=M dh=0 L=A dL=- preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Alto (baja); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=M dh=0 L=A dL=0 preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Alto (estable); cumplimiento Bajo,prop_rapida,9,"(2, 0, 2, 2)",0.9998,8.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 1)",0.0000,3.0
c=M dc=+ h=M dh=0 L=A dL=0 preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Alto (estable); cumplimiento Medio,prop_rapida,1,"(2, 2, 2, 2)",0.0124,10.0,"(2, 2, 2, 1)",0.0124,8.0,"(0, 2, 1, 1)",0.0124,5.0
c=M dc=+ h=M dh=0 L=A dL=0 preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Alto (estable); cumplimiento Alto,prop_rapida,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=M dh=0 L=A dL=+ preo=B,contagio Medio (sube); hospital Medio (estable); restriccion Alto (sube); cumplimiento Bajo,prop_rapida,718,"(2, 0, 1, 1)",0.9638,5.0,"(0, 2, 0, 0)",0.0322,2.0,"(2, 1, 0, 0)",0.0016,3.0
c=M dc=+ h=M dh=0 L=A dL=+ preo=M,contagio Medio (sube); hospital Medio (estable); restriccion Alto (sube); cumplimiento Medio,prop_rapida,65,"(0, 0, 2, 2)",0.9976,6.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=M dc=+ h=M dh=0 L=A dL=+ preo=A,contagio Medio (sube); hospital Medio (estable); restriccion Alto (sube); cumplimiento Alto,prop_rapida,2,"(0, 2, 0, 1)",0.0218,4.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=M dc=+ h=M dh=+ L=B dL=- preo=B,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (baja); cumplimiento Bajo,prop_rapida,678853,"(2, 2, 2, 2)",0.0756,10.0,"(2, 2, 2, 1)",0.0555,8.0,"(2, 2, 0, 2)",0.0548,8.0
c=M dc=+ h=M dh=+ L=B dL=- preo=M,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (baja); cumplimiento Medio,prop_rapida,6811,"(1, 2, 2, 2)",0.5840,9.0,"(0, 2, 2, 2)",0.1116,8.0,"(1, 1, 2, 2)",0.0821,8.0
c=M dc=+ h=M dh=+ L=B dL=- preo=A,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (baja); cumplimiento Alto,prop_rapida,479,"(2, 1, 2, 0)",0.5245,5.0,"(1, 2, 0, 2)",0.0921,7.0,"(2, 2, 0, 2)",0.0505,8.0
c=M dc=+ h=M dh=+ L=B dL=0 preo=B,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (estable); cumplimiento Bajo,prop_rapida,1007,"(0, 2, 2, 2)",0.9696,8.0,"(2, 1, 2, 2)",0.0212,9.0,"(1, 0, 1, 2)",0.0041,6.0
c=M dc=+ h=M dh=+ L=B dL=0 preo=M,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (estable); cumplimiento Medio,prop_rapida,294,"(2, 1, 2, 1)",0.9981,7.0,"(2, 2, 2, 1)",0.0009,8.0,"(0, 1, 1, 1)",0.0003,4.0
c=M dc=+ h=M dh=+ L=B dL=0 preo=A,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (estable); cumplimiento Alto,prop_rapida,79,"(1, 1, 1, 1)",0.1249,5.0,"(1, 1, 2, 0)",0.1042,4.0,"(0, 1, 2, 2)",0.0737,7.0
c=M dc=+ h=M dh=+ L=B dL=+ preo=B,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (sube); cumplimiento Bajo,prop_rapida,2935,"(2, 2, 1, 2)",0.9225,9.0,"(2, 1, 2, 2)",0.0498,9.0,"(2, 0, 1, 1)",0.0093,5.0
c=M dc=+ h=M dh=+ L=B dL=+ preo=M,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (sube); cumplimiento Medio,prop_rapida,75,"(2, 2, 2, 1)",0.9995,8.0,"(1, 2, 1, 2)",0.0003,8.0,"(1, 0, 1, 0)",0.0000,2.0
c=M dc=+ h=M dh=+ L=B dL=+ preo=A,contagio Medio (sube); hospital Medio (sube); restriccion Bajo (sube); cumplimiento Alto,prop_rapida,29,"(2, 1, 2, 1)",0.9541,7.0,"(2, 2, 2, 1)",0.0062,8.0,"(1, 1, 0, 1)",0.0005,4.0
